"label","last_mesure","sang_ok"
"8380190","04/06/2019","oui"
"8380197","30/04/2021","oui"
"8380198","18/05/2020","oui"
"8380205","12/06/2019","oui"
"8380206","22/05/2020","oui"
"8380216","19/06/2019","non"
"8380217","14/05/2021","oui"
"8380218","19/06/2019","oui"
"8380219","19/06/2019","oui"
"8380273","19/06/2020","oui"
"8380277","30/09/2019","non"
"8380289","19/05/2021","non"
"8380298","19/05/2020","oui"
"8380324","03/06/2019","oui"
"8380334","06/05/2022","oui"
"8380351","16/05/2022","non"
"8380359","12/05/2023","oui"
"8380369","14/05/2022","non"
"8380373","04/05/2023","oui"
"8380374","17/06/2019","oui"
"8380375","17/06/2019","oui"
"8380378","14/05/2021","oui"
"8380391","09/05/2025","oui"
"8380419","08/05/2020","oui"
"8380423","08/05/2020","oui"
"8380432","29/05/2019","oui"
"8380437","22/06/2020","oui"
"8380438","06/05/2025","non"
"8380439","07/06/2019","oui"
"8380443","17/06/2021","oui"
"8380444","11/06/2019","oui"
"8380449","23/04/2021","oui"
"8380454","17/06/2019","oui"
"8380460","18/06/2019","oui"
"8380477","23/04/2021","oui"
"8380483","21/06/2019","oui"
"8380484","21/06/2019","oui"
"8380488","25/06/2021","oui"
"8380490","21/04/2020","oui"
"8380499","27/04/2020","oui"
"8380500","27/04/2020","oui"
"8380511","20/05/2023","oui"
"8380512","20/05/2022","oui"
"8380513","07/05/2020","oui"
"8380519","08/05/2020","oui"
"8380520","08/05/2020","oui"
"8380521","08/05/2020","oui"
"8380522","08/05/2020","oui"
"8380547","11/05/2024","oui"
"8380549","15/06/2023","oui"
"8380554","04/05/2021","non"
"8380555","11/05/2020","non"
"8380564","14/05/2020","oui"
"8380565","14/05/2020","non"
"8380566","14/05/2020","oui"
"8380574","28/04/2021","oui"
"8380575","12/05/2023","non"
"8380576","08/05/2021","oui"
"8380581","18/05/2020","oui"
"8380588","19/05/2020","oui"
"8380589","18/06/2021","oui"
"8380596","22/05/2020","oui"
"8380597","25/04/2025","oui"
"8380598","10/06/2025","oui"
"8380599","04/05/2023","oui"
"8380600","28/04/2023","non"
"8380623","10/05/2024","oui"
"8380624","04/05/2024","non"
"8380625","30/04/2020","non"
"8380626","05/05/2021","oui"
"8380627","30/04/2020","oui"
"8380628","22/05/2021","non"
"8380629","01/05/2020","oui"
"8380633","05/05/2021","oui"
"8380635","14/05/2022","oui"
"8380638","19/05/2022","oui"
"8380639","08/05/2023","oui"
"8380641","24/05/2021","non"
"8380643","04/05/2020","non"
"8380644","13/05/2022","non"
"8380646","22/07/2022","oui"
"8380651","31/05/2021","non"
"8380653","05/05/2020","oui"
"8380654","10/05/2022","non"
"8380655","06/05/2020","oui"
"8380656","12/05/2021","oui"
"8380657","06/05/2024","oui"
"8380658","10/05/2020","non"
"8380659","09/05/2022","oui"
"8380667","12/05/2020","oui"
"8380674","12/05/2021","oui"
"8380677","13/05/2021","oui"
"8380678","25/02/2021","non"
"8380680","10/05/2024","oui"
"8380683","14/05/2021","oui"
"8380684","14/05/2021","oui"
"8380700","02/05/2024","non"
"8380802","31/05/2021","oui"
"8380818","26/04/2020","oui"
"8380819","18/05/2021","oui"
"8380820","27/04/2020","oui"
"8380821","20/05/2020","oui"
"8380822","11/06/2020","oui"
"8380823","14/06/2022","oui"
"8380824","14/06/2022","oui"
"8380825","29/04/2020","oui"
"8380841","18/06/2020","oui"
"8380850","18/05/2022","oui"
"8380859","30/04/2020","oui"
"8380860","30/04/2020","oui"
"8380861","30/04/2020","non"
"8380862","03/05/2021","oui"
"8380863","30/04/2020","oui"
"8380868","19/04/2022","oui"
"8380877","07/05/2020","non"
"8380899","14/05/2020","non"
"8380900","16/06/2020","non"
"8380910","06/05/2021","non"
"8477835","14/05/2020","oui"
"8478015","08/05/2018","oui"
"8478017","25/04/2019","oui"
"8761207","25/06/2020","oui"
"8802259","06/05/2021","oui"
"8802275","05/05/2025","non"
"8802281","16/05/2023","oui"
"8802284","12/05/2022","oui"
"8802291","08/05/2023","oui"
"8802486","12/05/2021","oui"
"8802487","14/05/2022","oui"
"8802488","14/05/2020","oui"
"8802489","13/05/2022","oui"
"8802490","12/05/2021","non"
"8802491","29/05/2020","oui"
"8802492","07/05/2021","oui"
"8802493","30/05/2022","non"
"8802494","07/06/2021","non"
"8802495","14/06/2020","non"
"8802496","20/06/2020","non"
"8802497","22/06/2020","oui"
"8802498","11/05/2022","oui"
"8802499","23/06/2020","oui"
"8802500","25/06/2020","oui"
"8802523","19/04/2020","non"
"8802530","19/04/2020","non"
"8802542","12/05/2023","oui"
"8802559","25/04/2020","non"
"8802575","04/06/2021","oui"
"8802576","11/06/2021","oui"
"8802577","11/06/2021","oui"
"8802578","19/05/2025","oui"
"8802579","15/06/2021","oui"
"8802580","26/05/2023","oui"
"8802581","05/07/2021","oui"
"8802582","08/07/2021","oui"
"8802583","09/05/2022","oui"
"8802584","14/05/2023","oui"
"8802585","24/05/2023","oui"
"8802586","05/05/2024","oui"
"8802587","11/05/2022","oui"
"8802588","11/05/2022","oui"
"8802589","14/05/2022","oui"
"8802590","14/05/2025","oui"
"8802591","08/05/2023","oui"
"8802592","16/05/2022","oui"
"8802599","19/05/2022","oui"
"8802609","12/05/2020","oui"
"8802610","12/05/2020","oui"
"8802611","12/05/2020","oui"
"8802635","05/05/2021","oui"
"8802636","19/05/2020","oui"
"8802637","19/05/2020","oui"
"8802641","19/05/2020","non"
"8802730","15/05/2025","oui"
"8802736","14/05/2021","oui"
"8802740","25/06/2020","oui"
"8802741","25/06/2020","oui"
"8802809","17/05/2021","oui"
"8802817","14/05/2021","oui"
"8802890","14/06/2021","oui"
"8802891","23/04/2021","oui"
"8802892","03/05/2024","oui"
"8802893","23/04/2021","oui"
"8802900","07/05/2021","oui"
"8802921","06/05/2024","oui"
