"label","last_mesure","sang_ok"
"10175292","08/05/2025","non"
"10175293","12/05/2025","non"
"10175294","12/05/2025","non"
"10175295","12/05/2025","non"
"10175296","12/05/2025","non"
"10175297","12/05/2025","non"
"10175298","12/05/2025","non"
"10175299","12/05/2025","non"
"10175300","11/05/2025","oui"
"10175301","29/04/2025","non"
"10175302","29/04/2025","oui"
"10175303","30/04/2025","oui"
"10175304","30/04/2025","oui"
"10175305","30/04/2025","oui"
"10175306","30/04/2025","non"
"10175307","30/04/2025","non"
"10175308","30/04/2025","non"
"10175309","30/04/2025","non"
"10175310","30/04/2025","non"
"10175311","30/04/2025","non"
"10175312","30/04/2025","non"
"10175313","30/04/2025","non"
"10175314","01/05/2025","non"
"10175315","01/05/2025","non"
"10175316","01/05/2025","non"
"10175317","01/05/2025","non"
"10175318","01/05/2025","non"
"10175319","01/05/2025","non"
"10175320","01/05/2025","non"
"10175321","01/05/2025","non"
"10175322","01/05/2025","non"
"10175323","01/05/2025","non"
"10175324","01/05/2025","non"
"10175325","01/05/2025","non"
"10175326","01/05/2025","non"
"10175327","01/05/2025","non"
"10175328","01/05/2025","non"
"10175329","01/05/2025","non"
"10175330","01/05/2025","non"
"10175331","01/05/2025","non"
"10175332","01/05/2025","non"
"10175333","01/05/2025","non"
"10175334","01/05/2025","non"
"10175335","01/05/2025","non"
"10175336","01/05/2025","non"
"10175337","01/05/2025","non"
"10175338","01/05/2025","non"
"10175339","01/05/2025","non"
"10175340","01/05/2025","non"
"10175341","01/05/2025","non"
"10175342","01/05/2025","non"
"10175343","01/05/2025","non"
"10175344","02/05/2025","non"
"10175345","02/05/2025","non"
"10175346","02/05/2025","non"
"10175347","02/05/2025","non"
"10175348","02/05/2025","non"
"10175349","02/05/2025","non"
"10175350","02/05/2025","non"
"10175351","02/05/2025","non"
"10175352","02/05/2025","non"
"10175360","04/05/2025","oui"
"10175361","04/05/2025","oui"
"10175362","04/05/2025","non"
"10175363","04/05/2025","non"
"10175364","04/05/2025","non"
"10175365","04/05/2025","non"
"10175366","04/05/2025","non"
"10175367","04/05/2025","non"
"10175368","04/05/2025","non"
"10175369","04/05/2025","non"
"10175370","04/05/2025","non"
"10175371","04/05/2025","non"
"10175372","04/05/2025","non"
"10175373","04/05/2025","non"
"10175374","04/05/2025","non"
"10175375","04/05/2025","non"
"10175376","04/05/2025","non"
"10175377","04/05/2025","non"
"10175378","04/05/2025","non"
"10175379","04/05/2025","non"
"10175380","04/05/2025","oui"
"10175381","05/05/2025","oui"
"10175382","05/05/2025","non"
"10175383","05/05/2025","non"
"10175384","05/05/2025","non"
"10175385","05/05/2025","non"
"10175386","05/05/2025","non"
"10175387","05/05/2025","non"
"10175388","05/05/2025","non"
"10175389","05/05/2025","non"
"10175390","06/05/2025","oui"
"10175391","06/05/2025","oui"
"10175400","07/05/2025","non"
"10175401","06/05/2025","non"
"10175402","06/05/2025","non"
"10175403","06/05/2025","non"
"10175404","06/05/2025","non"
"10175405","06/05/2025","non"
"10175406","06/05/2025","non"
"10175407","06/05/2025","non"
"10175408","06/05/2025","non"
"10175409","06/05/2025","non"
"10175410","07/05/2025","non"
"10175411","07/05/2025","non"
"10175412","07/05/2025","non"
"10175413","07/05/2025","non"
"10175414","07/05/2025","non"
"10175415","07/05/2025","non"
"10175416","07/05/2025","non"
"10175417","07/05/2025","non"
"10175418","07/05/2025","non"
"10175419","07/05/2025","non"
"10175420","07/05/2025","non"
"10175421","07/05/2025","non"
"10175422","07/05/2025","non"
"10175423","07/05/2025","non"
"10175424","07/05/2025","non"
"10175425","07/05/2025","non"
"10175426","07/05/2025","non"
"10175427","07/05/2025","non"
"10175428","07/05/2025","non"
"10175429","07/05/2025","non"
"10175430","07/05/2025","non"
"10175431","07/05/2025","non"
"10175432","07/05/2025","non"
"10175433","07/05/2025","non"
"10175434","07/05/2025","non"
"10175435","07/05/2025","non"
"10175436","07/05/2025","non"
"10175437","07/05/2025","non"
"10175438","07/05/2025","non"
"10175439","07/05/2025","non"
"10175440","07/05/2025","non"
"10175441","07/05/2025","non"
"10175442","07/05/2025","non"
"10175443","07/05/2025","non"
"10175444","07/05/2025","non"
"10175445","07/05/2025","non"
"10175446","07/05/2025","non"
"10175447","07/05/2025","non"
"10175448","07/05/2025","non"
"10175449","07/05/2025","non"
"10175450","07/05/2025","non"
"10175451","07/05/2025","non"
"10175452","07/05/2025","non"
"10175453","07/05/2025","non"
"10175454","07/05/2025","non"
"10175455","07/05/2025","non"
